label,xmin,ymin,xmax,ymax,confidence score,timestamp,frame number,number of objects in frame
Car-Sedan-:Honda Civic,0.09787699999999999,0.32291699999999995,0.645047,0.816667,0.895451,08:33:38,1,2
car,0.0,0.30833350000000004,0.284198,0.7229165,0.672866,08:33:37,1,1
car,0.47641550000000005,0.24166699999999997,0.5813685000000001,0.391667,0.616317,08:33:52,1,1
car,0.59316015,0.33541699999999997,0.67806585,0.454167,0.733218,08:33:51,1,1
Car-HatchBack-:Suzuki APV,0.003537499999999999,0.29375049999999997,0.2606125,0.8645835,0.702476,08:33:49,1,2
Car-HatchBack-:Toyota Vitz 2010,-1.9999999999881224e-07,0.2645835,0.1179248,0.9937505,0.673635,08:33:49,1,2
Car-HatchBack-:Toyota Vitz 2010,2.0000000000575113e-07,0.23750050000000006,0.1415092,0.9895835,0.723969,08:33:49,1,2
Car-HatchBack-:Toyota Vitz 2010,-1.0000000000287557e-07,0.20416649999999997,0.1910379,0.9937495000000001,0.676996,08:33:49,1,3
Car-HatchBack-:Toyota Vitz 2013,5.000000000005e-07,0.19375000000000003,0.2228775,0.98125,0.723344,08:33:49,1,3
Car-HatchBack-:Toyota Vitz 2013,5.000000000005e-07,0.197917,0.2358495,0.979167,0.861847,08:33:49,1,3
Car-HatchBack-:Toyota Vitz 2013,0.0,0.19374950000000002,0.247642,0.9791665,0.873432,08:33:49,1,3
Car-HatchBack-:Toyota Vitz 2013,-5.000000000143778e-07,0.197917,0.2676885,0.979167,0.861725,08:33:49,1,3
Car-HatchBack-:Toyota Vitz 2013,-5.000000000143778e-07,0.19166650000000002,0.2830185,0.9645835,0.821711,08:33:49,1,3
Car-HatchBack-:Toyota Vitz 2013,0.0,0.17500050000000006,0.300708,0.9583335,0.662369,08:33:49,1,3
Car-HatchBack-:Toyota Vitz 2013,0.0,0.17291649999999997,0.316038,0.9458335,0.618718,08:33:49,1,3
car,0.0,0.2979165,0.221698,0.7249995,0.615177,08:33:37,1,1
Car-HatchBack-:Toyota Vitz 2013,5.000000000143778e-07,0.16875050000000003,0.3290095,0.9333335,0.715873,08:33:49,1,3
Toyota Haice 1977,0.5400944999999999,0.2937495,0.9952835,0.6604165,0.637762,08:33:49,1,3
Toyota Haice 1977,0.5518875,0.291667,0.9964624999999999,0.660417,0.659909,08:33:48,1,4
Car-HatchBack-:Toyota Vitz 2013,5.000000000143778e-07,0.17083350000000003,0.3702835,0.9229164999999999,0.60997,08:33:48,1,4
Car-HatchBack-:Toyota Vitz 2013,-5.000000000143778e-07,0.18333349999999998,0.3891505,0.9041664999999999,0.690239,08:33:48,1,4
Toyota Haice 1977,0.555425,0.2875,0.995283,0.65,0.617963,08:33:48,1,4
Toyota Haice 1977,0.583726,0.2749995,1.0,0.6291665,0.680046,08:33:48,1,3
Toyota Haice 1977,0.5825475,0.2687495,1.0000005,0.6229165,0.633613,08:33:48,1,3
Car-HatchBack-:Toyota Vitz 2013,0.0011789999999999856,0.22083349999999996,0.463443,0.8750005000000001,0.636796,08:33:48,1,3
Car-HatchBack-:Toyota Vitz 2013,0.0011795,0.22708350000000005,0.4775945,0.8854165,0.755636,08:33:48,1,3
Car-HatchBack-:Toyota Vitz 2013,0.0011795,0.23333299999999996,0.4929245,0.8833329999999999,0.619803,08:33:48,1,3
Car-HatchBack-:Toyota Vitz 2013,0.0035380000000000134,0.24791700000000005,0.5,0.885417,0.667722,08:33:48,1,3
Car-HatchBack-:Toyota Vitz 2013,0.0035375000000000267,0.239583,0.5389145,0.883333,0.696838,08:33:48,1,3
Car-HatchBack-:Toyota Vitz 2013,0.015329999999999955,0.24999949999999999,0.543632,0.8729165000000001,0.603701,08:33:47,1,3
car,0.7264155,0.2583335,1.0000005,0.6854165,0.624651,08:33:36,1,1
Car-HatchBack-:Toyota Vitz 2013,0.0,0.17499950000000003,0.333726,0.9354165000000001,0.70289,08:33:49,1,3
Car-HatchBack-:Suzuki Alto,-2.0000000000575113e-07,0.2895829999999999,0.1662738,0.995833,0.684921,08:33:47,1,3
Car-Sedan-:Honda Civic,0.7606134999999999,0.35416649999999994,1.0000004999999998,0.8270835,0.670188,08:33:37,1,1
Car-Sedan-:Honda Civic,0.6804250000000001,0.34791649999999996,0.998821,0.8187495,0.756577,08:33:37,1,1
Car-Sedan-:Honda Civic,0.1450475,0.31874949999999996,0.6709905,0.7979164999999999,0.836341,08:33:38,1,2
Car-Sedan-:Honda Civic,0.1521225,0.3166665000000001,0.6780655,0.7937495,0.866791,08:33:38,1,2
